node_id,sensor_timestamp,humidity_percent,raw_value,rssi,voltage,sampling_interval
70:B8:F6:AE:A8:38,2025-12-19T00:07:30.000Z,33.34,3129,-78,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:07:30.000Z,32.08,3166,-64,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:08:00.000Z,33.32,3130,-62,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:08:00.000Z,32.08,3166,-74,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:08:30.000Z,33.3,3130,-72,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:08:30.000Z,32.08,3166,-59,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:09:00.000Z,33.3,3130,-72,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:09:00.000Z,32.11,3165,-81,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:09:30.000Z,33.32,3130,-80,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:09:30.000Z,32.1,3165,-85,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:10:00.000Z,33.3,3131,-64,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:10:00.000Z,32.11,3165,-76,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:10:30.000Z,33.28,3131,-72,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:10:30.000Z,32.12,3165,-78,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:11:00.000Z,33.26,3132,-75,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:11:00.000Z,32.11,3165,-56,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:11:30.000Z,33.27,3131,-56,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:11:30.000Z,32.13,3164,-77,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:12:00.000Z,33.3,3131,-73,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:12:00.000Z,32.11,3165,-78,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:12:30.000Z,33.29,3131,-71,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:12:30.000Z,32.09,3166,-63,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:13:00.000Z,33.3,3131,-67,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:13:00.000Z,32.1,3165,-64,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:13:30.000Z,33.3,3131,-66,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:13:30.000Z,32.08,3166,-62,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:14:00.000Z,33.3,3130,-70,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:14:00.000Z,32.05,3167,-82,4.142,30
70:B8:F6:AE:A8:38,2025-12-19T00:14:30.000Z,33.28,3131,-72,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:14:30.000Z,32.03,3167,-69,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:15:00.000Z,33.29,3131,-69,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:15:00.000Z,32.03,3167,-77,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:15:30.000Z,33.31,3130,-68,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:15:30.000Z,32.01,3168,-79,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:16:00.000Z,33.33,3129,-62,4.12,30
D4:E9:F4:66:29:A8,2025-12-19T00:16:00.000Z,32.03,3167,-64,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:16:30.000Z,33.31,3130,-81,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:16:30.000Z,32.03,3167,-78,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:17:00.000Z,33.34,3129,-65,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:17:00.000Z,32.03,3167,-61,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:17:30.000Z,33.34,3129,-67,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:17:30.000Z,32.03,3167,-77,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:18:00.000Z,33.32,3130,-56,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:18:00.000Z,32.02,3168,-76,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:18:30.000Z,33.35,3129,-55,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:18:30.000Z,32.02,3167,-67,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:19:00.000Z,33.34,3129,-67,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:19:00.000Z,32,3168,-81,4.141,30
70:B8:F6:AE:A8:38,2025-12-19T00:19:30.000Z,33.36,3129,-66,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:19:30.000Z,31.98,3169,-68,4.14,30
70:B8:F6:AE:A8:38,2025-12-19T00:20:00.000Z,33.37,3128,-78,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:20:00.000Z,32,3168,-61,4.14,30
70:B8:F6:AE:A8:38,2025-12-19T00:20:30.000Z,33.34,3129,-71,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:20:30.000Z,31.98,3169,-71,4.14,30
70:B8:F6:AE:A8:38,2025-12-19T00:21:00.000Z,33.34,3129,-61,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:21:00.000Z,32.01,3168,-68,4.14,30
70:B8:F6:AE:A8:38,2025-12-19T00:21:30.000Z,33.33,3130,-63,4.119,30
D4:E9:F4:66:29:A8,2025-12-19T00:21:30.000Z,32.01,3168,-71,4.14,30
70:B8:F6:AE:A8:38,2025-12-19T00:22:00.000Z,33.31,3130,-82,4.118,30
D4:E9:F4:66:29:A8,2025-12-19T00:22:00.000Z,32,3168,-76,4.14,30
70:B8:F6:AE:A8:38,2025-12-19T00:22:30.000Z,33.29,3131,-73,4.118,30
D4:E9:F4:66:29:A8,2025-12-19T00:22:30.000Z,31.99,3168,-66,4.14,30
70:B8:F6:AE:A8:38,2025-12-19T00:23:00.000Z,33.29,3131,-80,4.118,30
D4:E9:F4:66:29:A8,2025-12-19T00:23:00.000Z,31.97,3169,-64,4.14,30
70:B8:F6:AE:A8:38,2025-12-19T00:23:30.000Z,33.31,3130,-68,4.118,30
D4:E9:F4:66:29:A8,2025-12-19T00:23:30.000Z,31.96,3169,-79,4.14,30
70:B8:F6:AE:A8:38,2025-12-19T00:24:00.000Z,33.28,3131,-84,4.118,30
D4:E9:F4:66:29:A8,2025-12-19T00:24:00.000Z,31.96,3169,-66,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:24:30.000Z,33.27,3131,-83,4.118,30
D4:E9:F4:66:29:A8,2025-12-19T00:24:30.000Z,31.94,3170,-56,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:25:00.000Z,33.28,3131,-61,4.118,30
D4:E9:F4:66:29:A8,2025-12-19T00:25:00.000Z,31.92,3170,-55,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:25:30.000Z,33.26,3132,-56,4.118,30
D4:E9:F4:66:29:A8,2025-12-19T00:25:30.000Z,31.92,3170,-85,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:26:00.000Z,33.25,3132,-70,4.118,30
D4:E9:F4:66:29:A8,2025-12-19T00:26:00.000Z,31.91,3171,-80,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:26:30.000Z,33.27,3131,-85,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:26:30.000Z,31.91,3171,-66,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:27:00.000Z,33.24,3132,-66,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:27:00.000Z,31.91,3171,-85,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:27:30.000Z,33.26,3131,-71,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:27:30.000Z,31.93,3170,-76,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:28:00.000Z,33.29,3131,-59,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:28:00.000Z,31.92,3170,-71,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:28:30.000Z,33.31,3130,-69,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:28:30.000Z,31.95,3170,-72,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:29:00.000Z,33.32,3130,-74,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:29:00.000Z,31.92,3170,-58,4.139,30
70:B8:F6:AE:A8:38,2025-12-19T00:29:30.000Z,33.29,3131,-81,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:29:30.000Z,31.91,3171,-83,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:30:00.000Z,33.29,3131,-67,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:30:00.000Z,31.88,3172,-57,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:30:30.000Z,33.29,3131,-65,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:30:30.000Z,31.88,3171,-85,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:31:00.000Z,33.29,3131,-69,4.117,30
D4:E9:F4:66:29:A8,2025-12-19T00:31:00.000Z,31.87,3172,-62,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:31:30.000Z,33.29,3131,-66,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:31:30.000Z,31.85,3172,-55,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:32:00.000Z,33.27,3131,-67,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:32:00.000Z,31.85,3172,-60,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:32:30.000Z,33.29,3131,-75,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:32:30.000Z,31.83,3173,-69,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:33:00.000Z,33.27,3131,-70,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:33:00.000Z,31.82,3173,-66,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:33:30.000Z,33.29,3131,-59,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:33:30.000Z,31.81,3174,-84,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:34:00.000Z,33.29,3131,-76,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:34:00.000Z,31.82,3173,-82,4.138,30
70:B8:F6:AE:A8:38,2025-12-19T00:34:30.000Z,33.27,3131,-76,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:34:30.000Z,31.81,3174,-63,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:35:00.000Z,33.26,3131,-81,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:35:00.000Z,31.8,3174,-57,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:35:30.000Z,33.24,3132,-67,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:35:30.000Z,31.8,3174,-78,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:36:00.000Z,33.27,3131,-78,4.116,30
D4:E9:F4:66:29:A8,2025-12-19T00:36:00.000Z,31.83,3173,-59,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:36:30.000Z,33.29,3131,-62,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:36:30.000Z,31.83,3173,-85,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:37:00.000Z,33.32,3130,-63,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:37:00.000Z,31.81,3174,-59,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:37:30.000Z,33.31,3130,-77,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:37:30.000Z,31.8,3174,-73,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:38:00.000Z,33.32,3130,-71,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:38:00.000Z,31.79,3174,-61,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:38:30.000Z,33.32,3130,-71,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:38:30.000Z,31.79,3174,-62,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:39:00.000Z,33.32,3130,-78,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:39:00.000Z,31.76,3175,-62,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:39:30.000Z,33.35,3129,-82,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:39:30.000Z,31.75,3175,-64,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:40:00.000Z,33.35,3129,-60,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:40:00.000Z,31.74,3176,-59,4.137,30
70:B8:F6:AE:A8:38,2025-12-19T00:40:30.000Z,33.35,3129,-75,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:40:30.000Z,31.73,3176,-74,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:41:00.000Z,33.35,3129,-80,4.115,30
D4:E9:F4:66:29:A8,2025-12-19T00:41:00.000Z,31.74,3176,-68,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:41:30.000Z,33.33,3130,-69,4.114,30
D4:E9:F4:66:29:A8,2025-12-19T00:41:30.000Z,31.73,3176,-55,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:42:00.000Z,33.3,3130,-72,4.114,30
D4:E9:F4:66:29:A8,2025-12-19T00:42:00.000Z,31.71,3177,-62,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:42:30.000Z,33.29,3131,-55,4.114,30
D4:E9:F4:66:29:A8,2025-12-19T00:42:30.000Z,31.7,3177,-72,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:43:00.000Z,33.27,3131,-59,4.114,30
D4:E9:F4:66:29:A8,2025-12-19T00:43:00.000Z,31.69,3177,-55,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:43:30.000Z,33.26,3132,-65,4.114,30
D4:E9:F4:66:29:A8,2025-12-19T00:43:30.000Z,31.67,3178,-67,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:44:00.000Z,33.24,3132,-62,4.114,30
D4:E9:F4:66:29:A8,2025-12-19T00:44:00.000Z,31.65,3178,-70,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:44:30.000Z,33.21,3133,-82,4.114,30
D4:E9:F4:66:29:A8,2025-12-19T00:44:30.000Z,31.66,3178,-76,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:45:00.000Z,33.19,3134,-59,4.114,30
D4:E9:F4:66:29:A8,2025-12-19T00:45:00.000Z,31.65,3178,-72,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:45:30.000Z,33.2,3133,-72,4.114,30
D4:E9:F4:66:29:A8,2025-12-19T00:45:30.000Z,31.67,3178,-70,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:46:00.000Z,33.18,3134,-76,4.113,30
D4:E9:F4:66:29:A8,2025-12-19T00:46:00.000Z,31.67,3178,-76,4.136,30
70:B8:F6:AE:A8:38,2025-12-19T00:46:30.000Z,33.16,3135,-63,4.113,30
D4:E9:F4:66:29:A8,2025-12-19T00:46:30.000Z,31.7,3177,-78,4.135,30
70:B8:F6:AE:A8:38,2025-12-19T00:47:00.000Z,33.17,3134,-84,4.113,30
D4:E9:F4:66:29:A8,2025-12-19T00:47:00.000Z,31.67,3178,-76,4.135,30
70:B8:F6:AE:A8:38,2025-12-19T00:47:30.000Z,33.14,3135,-79,4.113,30
D4:E9:F4:66:29:A8,2025-12-19T00:47:30.000Z,31.68,3177,-66,4.135,30
70:B8:F6:AE:A8:38,2025-12-19T00:48:00.000Z,33.16,3134,-85,4.113,30
D4:E9:F4:66:29:A8,2025-12-19T00:48:00.000Z,31.71,3177,-83,4.135,30
70:B8:F6:AE:A8:38,2025-12-19T00:48:30.000Z,33.19,3134,-60,4.113,30
D4:E9:F4:66:29:A8,2025-12-19T00:48:30.000Z,31.71,3177,-77,4.135,30
70:B8:F6:AE:A8:38,2025-12-19T00:49:00.000Z,33.21,3133,-57,4.113,30
D4:E9:F4:66:29:A8,2025-12-19T00:49:00.000Z,31.73,3176,-67,4.135,30
70:B8:F6:AE:A8:38,2025-12-19T00:49:30.000Z,33.21,3133,-63,4.113,30
D4:E9:F4:66:29:A8,2025-12-19T00:49:30.000Z,31.75,3175,-84,4.135,30
70:B8:F6:AE:A8:38,2025-12-19T00:50:00.000Z,33.23,3132,-84,4.113,30
D4:E9:F4:66:29:A8,2025-12-19T00:50:00.000Z,31.77,3175,-85,4.135,30
70:B8:F6:AE:A8:38,2025-12-19T00:50:30.000Z,33.21,3133,-83,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:50:30.000Z,31.78,3174,-83,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:51:00.000Z,33.21,3133,-77,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:51:00.000Z,31.8,3174,-75,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:51:30.000Z,33.21,3133,-56,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:51:30.000Z,31.77,3175,-70,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:52:00.000Z,33.21,3133,-84,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:52:00.000Z,31.8,3174,-65,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:52:30.000Z,33.2,3133,-57,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:52:30.000Z,31.78,3174,-72,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:53:00.000Z,33.19,3134,-57,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:53:00.000Z,31.77,3175,-80,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:53:30.000Z,33.21,3133,-76,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:53:30.000Z,31.79,3174,-85,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:54:00.000Z,33.23,3132,-77,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:54:00.000Z,31.81,3174,-57,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:54:30.000Z,33.25,3132,-76,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:54:30.000Z,31.78,3174,-70,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:55:00.000Z,33.23,3132,-62,4.112,30
D4:E9:F4:66:29:A8,2025-12-19T00:55:00.000Z,31.77,3175,-71,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:55:30.000Z,33.25,3132,-85,4.111,30
D4:E9:F4:66:29:A8,2025-12-19T00:55:30.000Z,31.76,3175,-58,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:56:00.000Z,33.27,3131,-59,4.111,30
D4:E9:F4:66:29:A8,2025-12-19T00:56:00.000Z,31.73,3176,-84,4.134,30
70:B8:F6:AE:A8:38,2025-12-19T00:56:30.000Z,33.29,3131,-68,4.111,30
D4:E9:F4:66:29:A8,2025-12-19T00:56:30.000Z,31.73,3176,-67,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T00:57:00.000Z,33.3,3130,-62,4.111,30
D4:E9:F4:66:29:A8,2025-12-19T00:57:00.000Z,31.71,3176,-59,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T00:57:30.000Z,33.29,3131,-59,4.111,30
D4:E9:F4:66:29:A8,2025-12-19T00:57:30.000Z,31.69,3177,-72,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T00:58:00.000Z,33.3,3130,-82,4.111,30
D4:E9:F4:66:29:A8,2025-12-19T00:58:00.000Z,31.7,3177,-66,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T00:58:30.000Z,33.28,3131,-82,4.111,30
D4:E9:F4:66:29:A8,2025-12-19T00:58:30.000Z,31.73,3176,-55,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T00:59:00.000Z,33.25,3132,-62,4.111,30
D4:E9:F4:66:29:A8,2025-12-19T00:59:00.000Z,31.73,3176,-63,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T00:59:30.000Z,33.22,3133,-70,4.111,30
D4:E9:F4:66:29:A8,2025-12-19T00:59:30.000Z,31.7,3177,-74,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T01:00:00.000Z,33.21,3133,-80,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:00:00.000Z,31.68,3177,-72,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T01:00:30.000Z,33.21,3133,-76,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:00:30.000Z,31.67,3178,-82,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T01:01:00.000Z,33.18,3134,-80,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:01:00.000Z,31.64,3178,-65,4.133,30
70:B8:F6:AE:A8:38,2025-12-19T01:01:30.000Z,33.18,3134,-71,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:01:30.000Z,31.65,3178,-80,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:02:00.000Z,33.21,3133,-69,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:02:00.000Z,31.64,3178,-62,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:02:30.000Z,33.2,3133,-66,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:02:30.000Z,31.64,3179,-81,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:03:00.000Z,33.18,3134,-64,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:03:00.000Z,31.66,3178,-63,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:03:30.000Z,33.16,3135,-83,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:03:30.000Z,31.68,3177,-60,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:04:00.000Z,33.17,3134,-81,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:04:00.000Z,31.66,3178,-55,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:04:30.000Z,33.17,3134,-68,4.11,30
D4:E9:F4:66:29:A8,2025-12-19T01:04:30.000Z,31.64,3178,-59,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:05:00.000Z,33.19,3134,-83,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:05:00.000Z,31.65,3178,-67,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:05:30.000Z,33.16,3135,-72,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:05:30.000Z,31.62,3179,-63,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:06:00.000Z,33.15,3135,-58,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:06:00.000Z,31.61,3179,-55,4.132,30
70:B8:F6:AE:A8:38,2025-12-19T01:06:30.000Z,33.14,3135,-64,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:06:30.000Z,31.61,3179,-70,4.131,30
70:B8:F6:AE:A8:38,2025-12-19T01:07:00.000Z,33.12,3136,-63,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:07:00.000Z,31.58,3180,-83,4.131,30
70:B8:F6:AE:A8:38,2025-12-19T01:07:30.000Z,33.13,3136,-77,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:07:30.000Z,31.58,3180,-78,4.131,30
70:B8:F6:AE:A8:38,2025-12-19T01:08:00.000Z,33.11,3136,-71,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:08:00.000Z,31.57,3180,-71,4.131,30
70:B8:F6:AE:A8:38,2025-12-19T01:08:30.000Z,33.11,3136,-66,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:08:30.000Z,31.57,3180,-83,4.131,30
70:B8:F6:AE:A8:38,2025-12-19T01:09:00.000Z,33.11,3136,-63,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:09:00.000Z,31.57,3181,-80,4.131,30
70:B8:F6:AE:A8:38,2025-12-19T01:09:30.000Z,33.13,3135,-76,4.109,30
D4:E9:F4:66:29:A8,2025-12-19T01:09:30.000Z,31.57,3180,-63,4.131,30
70:B8:F6:AE:A8:38,2025-12-19T01:10:00.000Z,33.14,3135,-74,4.108,30
D4:E9:F4:66:29:A8,2025-12-19T01:10:00.000Z,31.57,3180,-71,4.131,30
70:B8:F6:AE:A8:38,2025-12-19T01:10:30.000Z,33.13,3135,-63,4.108,30
D4:E9:F4:66:29:A8,2025-12-19T01:10:30.000Z,31.6,3180,-78,4.131,30
